application_id,application_date,application_status,first_name,middle_name,last_name,preferred_name,gender,date_of_birth,nik,birth_place,blood_type,rt_rw,issue_date,email,phone_primary,phone_secondary,address_street,address_city,address_province,address_postal_code,address_country,linkedin_profile,personal_website,position_applied,department,employment_type,desired_salary,salary_negotiable,start_date_available,notice_period,work_authorization,visa_status,willing_to_relocate,remote_work_preference,travel_willingness,education_level,university_name,degree_major,degree_minor,graduation_year,gpa,academic_honors,total_experience,current_employer,current_position,current_salary,previous_employer_1,previous_position_1,previous_employer_2,previous_position_2,reason_for_leaving,technical_skills,soft_skills,programming_languages,certifications,languages_spoken,cover_letter_submitted,portfolio_url,github_profile,criminal_background,drug_test_consent,reference_check_consent,reference_1,reference_2,reference_3,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,preferred_work_schedule,overtime_availability,weekend_availability,how_found_position,referral_source,why_interested,career_goals,greatest_strength,biggest_weakness,religion,marital_status,bpjs_number,npwp_number,electronic_signature,signature_date,terms_accepted,privacy_policy_accepted
APP20250001,14/05/2025,Interview Scheduled,Emin,Ade,Astuti,,Male,05/11/1978,211776443477,Bontang,A,011/015,04-07-2021,emin.astuti@pd.net.id,+62 87-1867-2582,,Gang Gedebage Selatan No. 383,Pekanbaru,Papua,52494,Indonesia,https://linkedin.com/in/emin-astuti-751,,Financial Analyst,Keuangan,Full-time,"Rp 15,755,525",Ya,01/06/2025,Segera,WNI (Warga Negara Indonesia),N/A,Dalam kota saja,Work from Office,35%,S1 (Sarjana),Universitas Brawijaya,Akuntansi,,2024,,,3-5 tahun,PT Bank Central Asia,Energy engineer,"Rp 14,668,071",PT Bank Danamon,"Scientist, water quality",PT Asuransi Jiwasraya,Architect,Restrukturisasi Perusahaan,"Problem Solving, Excel, Banking, Analytical Thinking","Bahasa Inggris, Komunikasi, Financial Modeling",,Certified Management Accountant (CMA),"English, Bahasa Jawa, Bahasa Batak, Bahasa Indonesia (Native)",Ya,,,Tidak,Ya,Ya,"Kala Astuti, Hotel manager di PT Bank Rakyat Indonesia, (009) 716-3297, paulinpratama@example.org","Artanto Maryadi, Radio broadcast assistant di PT Asuransi Jiwasraya, (041) 146 1354, dalimanhalimah@example.net","Balidin Santoso, Insurance broker di PT Bank Danamon, +62 (23) 613 0377, qmulyani@example.com",Himawan Wastuti,Saudara,+62 85-9234-1375,Jam Fleksibel,Tidak,Ya,Recruiter,Maimunah Pangestu,Saya tertarik dengan posisi ini karena Dolores eaque veritatis nam repellendus sapiente. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Explicabo fugit dolor ad perferendis. dan mengembangkan keahlian dalam Problem Solving.,Komunikasi,Manajemen Waktu,Konghucu,Duda/Janda,,83.640.639.4-706.843,Emin Astuti,26/05/2025,Ya,Ya
APP20250002,09/04/2025,Pending,Raisa,Kardi,Jailani,,Female,16/03/1994,334776997724,Ternate,O,020/008,02-12-2019,raisa.jailani@pd.ponpes.id,+62 81-7088-2556,,Gg. Indragiri No. 52,Medan,Sumatera Barat,96273,Indonesia,https://linkedin.com/in/raisa-jailani-929,,Social Media Manager,Pemasaran,Contract,"Rp 18,449,489",Tidak,10/07/2025,2 minggu,WNI (Warga Negara Indonesia),N/A,Dalam kota saja,Fleksibel,9%,S1 (Sarjana),Universitas Andalas,Jurnalistik,,2022,3.07,,5-8 tahun,PT DDB Indonesia,"Surveyor, commercial/residential","Rp 19,982,588",PT Dentsu Indonesia,Geophysicist/field seismologist,PT DDB Indonesia,"Merchandiser, retail",Relokasi,"Kerja Tim, Facebook Ads, TikTok Marketing, Marketing Automation","Email Marketing, Adaptability, Google Analytics, Instagram Marketing",,Google Analytics Certified,"Mandarin, Bahasa Batak, Bahasa Jawa",Tidak,,,Tidak,Ya,Ya,"Farhunnisa Kuswoyo, Public house manager di PT Ogilvy Indonesia, (0897) 911-7369, jarwa21@example.com","Puput Laksita, Therapist, sports di PT Ogilvy Indonesia, +62 (318) 826 3994, radityasaptono@example.net",,Kamila Damanik,Orang Tua,+62 88-8300-5416,Standar (9-17),Terbatas,Tidak,JobStreet,,Saya tertarik dengan posisi ini karena Aperiam nesciunt doloremque aliquid occaecati. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Ipsum consequuntur ut explicabo aliquam corporis qui iste. dan mengembangkan keahlian dalam Facebook Ads.,Kepemimpinan,Delegasi,Islam,Duda/Janda,BPJS-50472404,,Raisa Jailani,26/05/2025,Ya,Ya
APP20250003,21/05/2025,Under Review,Baktianto,,Ramadan,,Male,21/05/1983,334773400966,Purwokerto,AB,017/010,09-09-2023,baktianto.ramadan@perum.net.id,+62 8-2623-3304,,Gang Erlangga No. 387,Bogor,Kepulauan Bangka Belitung,75948,Indonesia,https://linkedin.com/in/baktianto-ramadan-894,https://baktiantoramadan.com,Treasury Analyst,Keuangan,Magang,"Rp 10,028,494",Ya,02/07/2025,Segera,Permanent Resident,N/A,Tidak,Work from Office,8%,D3 (Diploma),Universitas Diponegoro,Ekonomi,,2016,3.7,,1-3 tahun,PT Bank Negara Indonesia,Press photographer,"Rp 8,814,948",PT Bank Mandiri,Claims inspector/assessor,PT Prudential Indonesia,"Designer, textile",Mencari Tantangan Baru,"Bahasa Inggris, Komunikasi, Compliance, PSAK",Problem Solving,,Certified Internal Auditor (CIA),"Bahasa Sunda, Arabic",Ya,,,Tidak,Ya,Ya,"Jumari Manullang, Producer, television/film/video di PT Prudential Indonesia, +62 (058) 246-2592, laksana77@example.com","Ghani Melani, Field trials officer di PT Prudential Indonesia, +62-515-914-0295, xpadmasari@example.net",,Kairav Saptono,Teman,+62 8-1418-1072,Mulai Pagi,Ya,Tidak,Recruiter,,Saya tertarik dengan posisi ini karena Odit culpa aliquid fuga sequi perferendis. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Dicta eos debitis sapiente dolorem dolorem. dan mengembangkan keahlian dalam Bahasa Inggris.,Kerja Tim,Public Speaking,Islam,Duda/Janda,BPJS-87306023,11.338.841.2-250.366,Baktianto Ramadan,26/05/2025,Ya,Ya
APP20250004,15/04/2025,Under Review,Maida,Dacin,Agustina,Maida,Female,11/09/1963,116191852080,Banda Aceh,B,002/005,21-06-2022,maida.agustina@ud.ponpes.id,+62 87-5113-1658,,Jalan Tubagus Ismail No. 01,Batam,Aceh,08985,Indonesia,https://linkedin.com/in/maida-agustina-589,,Social Media Manager,Pemasaran,Magang,"Rp 15,126,311",Tidak,10/07/2025,2 minggu,Permanent Resident,N/A,Tidak,Work from Office,15%,S2 (Magister),Universitas Negeri Surabaya,Public Relations,,2019,,,5-8 tahun,PT BBDO Indonesia,Counselling psychologist,"Rp 13,161,087",PT Leo Burnett Indonesia,Animal nutritionist,PT Ogilvy Indonesia,Agricultural engineer,Mencari Tantangan Baru,"Manajemen Waktu, Email Marketing, Instagram Marketing, Google Analytics","Adobe Creative Suite, Adaptability, Google Ads",,Tidak ada,"English, Bahasa Batak",Ya,https://portfolio.maidaagustina.com,,Ya,Ya,Ya,"Liman Adriansyah, Research scientist (maths) di PT Ogilvy Indonesia, (0821) 702 5529, purwantoprasetyo@example.com","Bakda Prayoga, Podiatrist di PT Ogilvy Indonesia, +62-40-324-4712, qwacana@example.com","Makara Nuraini, Designer, multimedia di PT Ogilvy Indonesia, +62 (967) 443-7231, pradiptanabila@example.net",Imam Hartati,Saudara,+62 81-3128-4670,Jam Fleksibel,Ya,Tidak,LinkedIn,Darman Yolanda,Saya tertarik dengan posisi ini karena Laudantium beatae maxime voluptates at. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Dolor quod maiores explicabo modi hic. dan mengembangkan keahlian dalam Adobe Creative Suite.,Komunikasi,Public Speaking,Buddha,Menikah,,,Maida Agustina,26/05/2025,Ya,Ya
APP20250005,21/04/2025,Interview Scheduled,Kartika,Mumpuni,Usada,,Female,23/05/1976,197665789158,Sawahlunto,O,002/013,04-03-2020,kartika.usada@pd.mil.id,+62 82-3268-3496,,Jalan Ciumbuleuit No. 02,Bogor,Kepulauan Riau,03573,Indonesia,https://linkedin.com/in/kartika-usada-187,,Academic Coordinator,Pendidikan,Contract,"Rp 6,760,011",Ya,15/07/2025,2 minggu,Permanent Resident,N/A,Tidak,Work from Office,37%,D3 (Diploma),Universitas Padjadjaran,Pendidikan Kimia,Pendidikan Guru Sekolah Dasar,2012,3.02,Wisudawan Terbaik,Entry Level,Binar Academy,Maintenance engineer,"Rp 6,961,135",Universitas Gadjah Mada,"Engineer, maintenance",Binar Academy,Printmaker,Pengembangan Karir,"Curriculum Development, Problem Solving, Student Assessment, Adaptability","Komunikasi, Learning Management Systems",,"Sertifikat Pendidik, TOEFL/IELTS Certificate","English, Bahasa Batak, Japanese, Mandarin",Ya,,,Ya,Tidak,Ya,"Teddy Wasita, Solicitor di Binar Academy, +62 (72) 555 4590, gadanggunarto@example.org","Humaira Dabukke, Sports coach di Universitas Indonesia, +62-017-762-0897, luluh14@example.net","Asmuni Oktaviani, Teacher, adult education di Binar Academy, +62 (0454) 596 6081, idawacana@example.net",Harja Winarno,Saudara,+62 89-8480-1752,Standar (9-17),Terbatas,Ya,LinkedIn,Alika Megantara,Saya tertarik dengan posisi ini karena Vel repellat illo impedit quod quasi. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Odio aspernatur placeat iusto nostrum nostrum velit. dan mengembangkan keahlian dalam Adaptability.,Keahlian Teknis,Public Speaking,Katolik,Menikah,,61.327.941.7-300.201,Kartika Usada,26/05/2025,Ya,Ya
APP20250006,04/05/2025,Pending,Budi,Vino,Narpati,Budi,Male,02/09/1996,187178695900,Pariaman,A,009/005,29-03-2025,budi.narpati@pt.go.id,+62 87-2120-8573,,Jalan PHH. Mustofa No. 9,Batam,Aceh,07132,Indonesia,https://linkedin.com/in/budi-narpati-527,https://budinarpati.com,Academic Coordinator,Pendidikan,Contract,"Rp 25,963,967",Ya,09/06/2025,1 bulan,WNA dengan Work Permit,Work Permit,Tidak,Hybrid,18%,S2 (Magister),Universitas Padjadjaran,Pendidikan Guru Sekolah Dasar,Pendidikan Matematika,2014,3.18,Cum Laude,8-12 tahun,Hacktiv8,Data processing manager,"Rp 24,303,115",Ruangguru,Barrister,Universitas Indonesia,Architectural technologist,Pengembangan Karir,"Komunikasi, Academic Research, Adaptability, Analytical Thinking","Bahasa Inggris, Learning Management Systems",,Tidak ada,"Bahasa Jawa, Mandarin",Tidak,,,Tidak,Tidak,Ya,"Jasmani Pranowo, Nurse, learning disability di Hacktiv8, +62 (0192) 793-3065, htarihoran@example.org","Eka Haryanto, Actuary di Universitas Indonesia, +62 (43) 838-9914, himawanuwais@example.org",,Salman Wibowo,Teman,+62 81-6145-1806,Standar (9-17),Terbatas,Kadang-kadang,Website Perusahaan,Yuni Yolanda,Saya tertarik dengan posisi ini karena Ad similique pariatur voluptatibus rerum impedit occaecati. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Magni aliquid quam in aut. dan mengembangkan keahlian dalam Bahasa Inggris.,Problem Solving,Public Speaking,Hindu,Duda/Janda,BPJS-37350977,30.807.247.3-166.223,Budi Narpati,26/05/2025,Ya,Ya
APP20250007,09/05/2025,Pending,Azalea,,Suryatmi,,Female,03/07/1980,178572851338,Jambi,-,012/001,16-04-2020,azalea.suryatmi@perum.desa.id,+62 88-2685-7110,+62 87-4966-5897,Jl. Gegerkalong Hilir No. 3,Medan,Maluku Utara,24972,Indonesia,https://linkedin.com/in/azalea-suryatmi-140,,Mobile App Developer,Teknologi,Part-time,"Rp 7,359,131",Ya,20/06/2025,2 bulan,WNI (Warga Negara Indonesia),N/A,Dalam kota saja,Work from Office,49%,S1 (Sarjana),Universitas Tarumanagara,Teknik Elektro,,2020,,,1-3 tahun,PT Telkom Indonesia,Broadcast engineer,"Rp 7,111,144",Kitabisa,"Scientist, forensic",Blibli,Risk analyst,Pengembangan Karir,"Scrum, SQL, Git, MongoDB",REST APIs,"R, Java, JavaScript, PHP",Tidak ada,"Japanese, Mandarin, English, Bahasa Bali",Ya,,,Tidak,Tidak,Ya,"Prayogo Usada, Designer, television/film set di Blibli, +62 (67) 045 8864, wijayapangestu@example.net","Johan Mandasari, Therapist, drama di Kitabisa, +62 (062) 066 1249, puji92@example.org","Hasta Hastuti, Museum/gallery exhibitions officer di Kitabisa, (090) 724 5458, ylaksita@example.net",Virman Hakim,Saudara,+62 89-4580-4473,Jam Fleksibel,Ya,Kadang-kadang,Recruiter,,Saya tertarik dengan posisi ini karena Impedit quia sequi. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Aspernatur nam similique temporibus quo. dan mengembangkan keahlian dalam MongoDB.,Keahlian Teknis,Delegasi,Kristen,Belum Menikah,BPJS-14300951,,Azalea Suryatmi,26/05/2025,Ya,Ya
APP20250008,02/04/2025,Interview Scheduled,Aditya,,Nuraini,Aditya,Male,06/12/2002,149020190963,Surakarta,-,012/010,15-11-2019,aditya.nuraini@ud.go.id,+62 87-3490-3836,,Jalan Merdeka No. 172,Padang,Kalimantan Timur,69096,Indonesia,https://linkedin.com/in/aditya-nuraini-566,https://adityanuraini.com,Dosen,Pendidikan,Magang,"Rp 17,830,231",Ya,15/06/2025,2 minggu,WNA dengan Work Permit,Work Permit,Dalam kota saja,Fleksibel,7%,S2 (Magister),Universitas Gadjah Mada,Pendidikan Guru Sekolah Dasar,,2021,3.13,,5-8 tahun,Skill Academy,Management consultant,"Rp 18,084,436",Zenius,"Engineer, site",Skill Academy,Information officer,Restrukturisasi Perusahaan,"Adaptability, Komunikasi, Curriculum Development, Student Assessment","Learning Management Systems, Classroom Management",,"Microsoft Office Specialist, TOEFL/IELTS Certificate","Bahasa Bali, Bahasa Jawa",Tidak,,,Ya,Tidak,Ya,"Puji Habibi, Designer, industrial/product di Zenius, (0114) 046 8497, kawayaramadan@example.net","Cinta Uyainah, Barrister di Ruangguru, +62 (64) 614-7387, lanangmustofa@example.net",,Lintang Mangunsong,Saudara,+62 8-6957-5197,Jam Fleksibel,Terbatas,Tidak,Karir.com,,Saya tertarik dengan posisi ini karena Perferendis saepe cupiditate aliquid deleniti harum omnis. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Culpa quos tempore eum commodi quos. dan mengembangkan keahlian dalam Learning Management Systems.,Kerja Tim,Delegasi,Lainnya,Menikah,BPJS-99613059,,Aditya Nuraini,26/05/2025,Ya,Ya
APP20250009,15/05/2025,Under Review,Kawaca,,Prayoga,Kawaca,Male,27/05/1963,326997714272,Samarinda,B,019/002,07-01-2022,kawaca.prayoga@pd.id,+62 81-9480-3379,,Gg. Cempaka No. 21,Banjarmasin,Kalimantan Utara,55645,Indonesia,https://linkedin.com/in/kawaca-prayoga-772,,Clinical Research Coordinator,Kesehatan,Contract,"Rp 6,894,070",Ya,27/05/2025,2 minggu,Permanent Resident,N/A,Ya,Work from Office,47%,S1 (Sarjana),Universitas Sebelas Maret,Kesehatan Masyarakat,,2019,3.93,,Entry Level,RS Pondok Indah,Actuary,"Rp 6,101,461",RS Fatmawati,"Surveyor, quantity",PT Kimia Farma,Customer service manager,Peluang Lebih Baik,"Privacy Compliance, Patient Care, Bahasa Inggris, Electronic Health Records","Adaptability, Manajemen Waktu",,"BLS Certification, SIP (Surat Ijin Praktik), ACLS Certification","Arabic, English, Mandarin",Ya,,,Tidak,Ya,Ya,"Sari Hutapea, Scientist, audiological di RS Fatmawati, 081 147 7110, qtarihoran@example.org","Candrakanta Namaga, Print production planner di RS Fatmawati, 0875329590, mardhiyahjais@example.com","Tami Maryadi, Teacher, music di RS Fatmawati, (078) 457 2406, mariadi40@example.com",Catur Tarihoran,Suami/Istri,+62 89-3218-9316,Jam Fleksibel,Tidak,Tidak,Website Perusahaan,,Saya tertarik dengan posisi ini karena Odit fugiat omnis eligendi. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Minima consectetur voluptate eius blanditiis eum. dan mengembangkan keahlian dalam Patient Care.,Kepemimpinan,Perfeksionis,Hindu,Menikah,BPJS-33465474,92.491.934.4-111.594,Kawaca Prayoga,26/05/2025,Ya,Ya
APP20250010,03/04/2025,Under Review,Leo,Rahman,Pratama,,Male,18/09/1976,345250864329,Bima,-,017/012,26-07-2018,leo.pratama@pt.mil.id,+62 8-6526-8502,,Jalan Kiaracondong No. 20,Banjarmasin,Kalimantan Selatan,85364,Indonesia,https://linkedin.com/in/leo-pratama-239,,Guru SMP,Pendidikan,Full-time,"Rp 32,094,319",Ya,06/06/2025,1 bulan,Permanent Resident,N/A,Dalam kota saja,Hybrid,45%,S2 (Magister),Universitas Negeri Surabaya,Pendidikan Matematika,,2013,3.96,,8-12 tahun,Hacktiv8,Media buyer,"Rp 31,784,651",Skill Academy,"Sound technician, broadcasting/film/video",Zenius,Personnel officer,Relokasi,"Adaptability, Kepemimpinan, Teaching, Classroom Management","Analytical Thinking, Manajemen Waktu, Curriculum Development",,"TOEFL/IELTS Certificate, Microsoft Office Specialist","Bahasa Bali, Bahasa Jawa, Arabic, Bahasa Indonesia (Native)",Tidak,,,Ya,Ya,Ya,"Chelsea Firgantoro, Publishing rights manager di Zenius, +62 (0320) 767 4080, dimasnasyidah@example.org","Ifa Pudjiastuti, Retail manager di Ruangguru, (0717) 053-1106, winarnonyoman@example.net",,Vino Natsir,Suami/Istri,+62 85-7234-6096,Mulai Siang,Terbatas,Ya,LinkedIn,,Saya tertarik dengan posisi ini karena Saepe doloribus quam quidem quo. dan ingin berkontribusi untuk kemajuan perusahaan.,Tujuan karir saya adalah Placeat beatae voluptatum hic dolorum placeat corrupti. dan mengembangkan keahlian dalam Kepemimpinan.,Komunikasi,Public Speaking,Islam,Menikah,BPJS-47812437,,Leo Pratama,26/05/2025,Ya,Ya
